# Re(α)   Im(α)
0.275493 0.410797
0.275602 0.405513
0.275381 0.400409
0.275489 0.395118
0.275455 0.39009
0.275382 0.384981
0.275398 0.379849
0.275371 0.374887
0.275399 0.369815
0.275365 0.364969
0.275289 0.359951
0.275358 0.35498
0.275437 0.350219
0.275298 0.345407
0.275317 0.34046
0.275443 0.335663
0.290288 0.308587
0.275416 0.331009
0.27538 0.326064
0.275649 0.321338
0.27559 0.316691
0.275464 0.311921
0.27551 0.306795
0.275561 0.30251
0.275161 0.297722
0.275013 0.293172
0.27488 0.288528
0.275048 0.284199
0.274645 0.28009
0.274532 0.275566
0.27437 0.271376
0.274174 0.266958
0.274298 0.262521
0.274403 0.258674
0.274068 0.254355
0.280187 0.240851
0.27432 0.250017
0.274369 0.246064
0.274066 0.241441
0.274226 0.236896
0.273635 0.233228
0.273154 0.228946
0.272991 0.225026
0.272671 0.221185
0.272485 0.217313
0.272266 0.213592
0.272038 0.209877
0.271782 0.20617
0.271592 0.202444
0.271456 0.198844
0.271234 0.195281
0.271051 0.191723
0.270814 0.18819
0.270682 0.184664
0.270489 0.181228
0.270334 0.177816
0.270115 0.174416
0.269977 0.171053
0.269776 0.167748
0.269607 0.164441
0.269423 0.161184
0.269262 0.157955
0.269067 0.154765
0.268909 0.151589
0.268725 0.148469
0.268554 0.14536
0.268373 0.142296
0.268208 0.139252
0.268024 0.136248
0.267861 0.133272
0.267678 0.130327
0.267516 0.127414
0.267337 0.124531
0.267173 0.121681
0.266998 0.118861
0.266835 0.116072
0.266663 0.113313
0.266503 0.11059
0.266332 0.107892
0.266174 0.105231
0.266006 0.102597
0.265852 0.0999973
0.265686 0.0974268
0.265535 0.0948902
0.265373 0.0923819
0.265224 0.0899093
0.265066 0.0874636
0.26492 0.0850546
0.264766 0.082672
0.264623 0.0803266
0.264474 0.0780076
0.264334 0.0757261
0.264189 0.0734706
0.264052 0.0712533
0.263912 0.069062
0.263779 0.0669085
0.263644 0.0647819
0.263515 0.0626928
0.263384 0.0606306
0.263259 0.0586063
0.263133 0.0566092
0.263013 0.0546497
0.262891 0.0527179
0.262775 0.0508236
0.262659 0.0489574
0.262548 0.0471286
0.262436 0.0453282
0.262329 0.0435653
0.262223 0.0418311
0.262121 0.0401343
0.26202 0.0384667
0.261923 0.0368363
0.261827 0.0352356
0.261735 0.0336721
0.260002 0.000108718
0.260006 0.000205692
0.260011 0.000346685
0.260018 0.000527636
0.260026 0.000750148
0.260036 0.00101152
0.260048 0.00131395
0.260061 0.00165462
0.260077 0.00203594
0.260094 0.0024549
0.260113 0.00291408
0.260133 0.00341032
0.260156 0.00394637
0.260208 0.00513083
0.260181 0.00451889
0.260268 0.00646563
0.260237 0.00577869
0.260301 0.00718794
0.260337 0.00794902
0.260375 0.00874496
0.260415 0.00957938
0.260457 0.0104482
0.260502 0.0113552
0.260549 0.0122961
0.260598 0.013275
0.26065 0.0142874
0.260705 0.0153375
0.260761 0.0164206
0.260821 0.0175414
0.260883 0.0186947
0.260948 0.0198855
0.261014 0.0211084
0.261084 0.0223686
0.261644 0.0321387
0.261557 0.0306424
0.261156 0.0236606
0.261231 0.0249898
0.261471 0.0291766
0.261308 0.0263503
0.261389 0.0277481
